cod-archive	U+EA98	
dev-github_badge	U+E709	
dev-github_full	U+E717	
dev-githubactions	U+E7E9	
dev-githubcodespaces	U+E7EA	
dev-gitlab	U+E7EB	
dev-gitpod	U+E7EC	
dev-gitter	U+E7ED	
dev-jamstack	U+E804	
dev-openstack	U+E856	
dev-stackoverflow	U+E710	
dev-tortoisegit	U+E8C4	
dev-towergit	U+E8C5	
fa-check	U+F00C	
fa-check_circle	U+F058	
fa-check_circle_o	U+F05D	
fa-check_double	U+EE29	
fa-check_square	U+F14A	
fa-check_square_o	U+F046	
fa-check_to_slot	U+EF2F	
fa-circle_check	U+F05D	
fa-circle_xmark	U+F05C	
fa-clock	U+F017	
fa-code_branch	U+F126	
fa-code_commit	U+F172	
fa-code_fork	U+F126	
fa-code_merge	U+F17F	
fa-eye	U+F06E	
fa-git	U+F1D3	
fa-git_alt	U+EFA0	
fa-git_square	U+F1D2	
fa-github	U+F09B	
fa-github_alt	U+F113	
fa-github_square	U+F092	
fa-gitkraken	U+F2AC	
fa-gitlab	U+F296	
fa-gitter	U+ED50	
fa-gittip	U+F184	
fa-hourglass	U+F254	
fa-hourglass_1	U+F251	
fa-hourglass_2	U+F252	
fa-hourglass_3	U+F253	
fa-hourglass_end	U+F253	
fa-hourglass_half	U+F252	
fa-hourglass_o	U+F250	
fa-hourglass_start	U+F251	
fa-pen	U+F01F	
fa-pen_clip	U+F020	
fa-pen_fancy	U+EE74	
fa-pen_nib	U+EE75	
fa-pen_ruler	U+EE76	
fa-pen_to_square	U+F044	
fa-pencil	U+F040	
fa-pencil_square	U+F14B	
fa-pencil_square_o	U+F044	
fa-xmark	U+F00D	
md-check_all	U+F012D	󰄭
md-check_bold	U+F0E1E	󰸞
md-check_circle	U+F05E0	󰗠
md-check_circle_outline	U+F05E1	󰗡
md-check_decagram	U+F0791	󰞑
md-check_decagram_outline	U+F1740	󱝀
md-check_network	U+F0C53	󰱓
md-check_network_outline	U+F0C54	󰱔
md-check_outline	U+F0855	󰡕
md-check_underline	U+F0E1F	󰸟
md-check_underline_circle	U+F0E20	󰸠
md-check_underline_circle_outline	U+F0E21	󰸡
md-clock	U+F0954	󰥔
md-clock_alert	U+F0955	󰥕
md-clock_alert_outline	U+F05CE	󰗎
md-clock_check	U+F0FA8	󰾨
md-clock_check_outline	U+F0FA9	󰾩
md-clock_digital	U+F0E97	󰺗
md-clock_edit	U+F19BA	󱦺
md-clock_edit_outline	U+F19BB	󱦻
md-clock_end	U+F0151	󰅑
md-clock_fast	U+F0152	󰅒
md-clock_in	U+F0153	󰅓
md-clock_minus	U+F1863	󱡣
md-clock_minus_outline	U+F1864	󱡤
md-clock_out	U+F0154	󰅔
md-clock_outline	U+F0150	󰅐
md-clock_plus	U+F1861	󱡡
md-clock_plus_outline	U+F1862	󱡢
md-clock_remove	U+F1865	󱡥
md-clock_remove_outline	U+F1866	󱡦
md-clock_start	U+F0155	󰅕
md-clock_time_eight	U+F1446	󱑆
md-clock_time_eight_outline	U+F1452	󱑒
md-clock_time_eleven	U+F1449	󱑉
md-clock_time_eleven_outline	U+F1455	󱑕
md-clock_time_five	U+F1443	󱑃
md-clock_time_five_outline	U+F144F	󱑏
md-clock_time_four	U+F1442	󱑂
md-clock_time_four_outline	U+F144E	󱑎
md-clock_time_nine	U+F1447	󱑇
md-clock_time_nine_outline	U+F1453	󱑓
md-clock_time_one	U+F143F	󱐿
md-clock_time_one_outline	U+F144B	󱑋
md-clock_time_seven	U+F1445	󱑅
md-clock_time_seven_outline	U+F1451	󱑑
md-clock_time_six	U+F1444	󱑄
md-clock_time_six_outline	U+F1450	󱑐
md-clock_time_ten	U+F1448	󱑈
md-clock_time_ten_outline	U+F1454	󱑔
md-clock_time_three	U+F1441	󱑁
md-clock_time_three_outline	U+F144D	󱑍
md-clock_time_twelve	U+F144A	󱑊
md-clock_time_twelve_outline	U+F1456	󱑖
md-clock_time_two	U+F1440	󱑀
md-clock_time_two_outline	U+F144C	󱑌
md-code_braces	U+F0169	󰅩
md-code_braces_box	U+F10D6	󱃖
md-eye	U+F0208	󰈈
md-eye_arrow_left	U+F18FD	󱣽
md-eye_arrow_left_outline	U+F18FE	󱣾
md-eye_arrow_right	U+F18FF	󱣿
md-eye_arrow_right_outline	U+F1900	󱤀
md-eye_check	U+F0D04	󰴄
md-eye_check_outline	U+F0D05	󰴅
md-eye_circle	U+F0B94	󰮔
md-eye_circle_outline	U+F0B95	󰮕
md-eye_minus	U+F1026	󱀦
md-eye_minus_outline	U+F1027	󱀧
md-eye_off	U+F0209	󰈉
md-eye_off_outline	U+F06D1	󰛑
md-eye_outline	U+F06D0	󰛐
md-eye_plus	U+F086B	󰡫
md-eye_plus_outline	U+F086C	󰡬
md-eye_refresh	U+F197C	󱥼
md-eye_refresh_outline	U+F197D	󱥽
md-eye_remove	U+F15E3	󱗣
md-eye_remove_outline	U+F15E4	󱗤
md-eye_settings	U+F086D	󰡭
md-eye_settings_outline	U+F086E	󰡮
md-eyedropper	U+F020A	󰈊
md-eyedropper_minus	U+F13DD	󱏝
md-eyedropper_off	U+F13DF	󱏟
md-eyedropper_plus	U+F13DC	󱏜
md-eyedropper_remove	U+F13DE	󱏞
md-eyedropper_variant	U+F020B	󰈋
md-git	U+F02A2	󰊢
md-github	U+F02A4	󰊤
md-gitlab	U+F0BA0	󰮠
md-pencil	U+F03EB	󰏫
md-pencil_box	U+F03EC	󰏬
md-pencil_box_multiple	U+F1144	󱅄
md-pencil_box_multiple_outline	U+F1145	󱅅
md-pencil_box_outline	U+F03ED	󰏭
md-pencil_circle	U+F06FF	󰛿
md-pencil_circle_outline	U+F0776	󰝶
md-pencil_lock	U+F03EE	󰏮
md-pencil_lock_outline	U+F0DE7	󰷧
md-pencil_minus	U+F0DE8	󰷨
md-pencil_minus_outline	U+F0DE9	󰷩
md-pencil_off	U+F03EF	󰏯
md-pencil_off_outline	U+F0DEA	󰷪
md-pencil_outline	U+F0CB6	󰲶
md-pencil_plus	U+F0DEB	󰷫
md-pencil_plus_outline	U+F0DEC	󰷬
md-pencil_remove	U+F0DED	󰷭
md-pencil_remove_outline	U+F0DEE	󰷮
md-pencil_ruler	U+F1353	󱍓
md-source_branch	U+F062C	󰘬
md-source_branch_check	U+F14CF	󱓏
md-source_branch_minus	U+F14CB	󱓋
md-source_branch_plus	U+F14CA	󱓊
md-source_branch_refresh	U+F14CD	󱓍
md-source_branch_remove	U+F14CC	󱓌
md-source_branch_sync	U+F14CE	󱓎
md-source_commit	U+F0718	󰜘
md-source_commit_end	U+F0719	󰜙
md-source_commit_end_local	U+F071A	󰜚
md-source_commit_local	U+F071B	󰜛
md-source_commit_next_local	U+F071C	󰜜
md-source_commit_start	U+F071D	󰜝
md-source_commit_start_next_local	U+F071E	󰜞
md-source_merge	U+F062D	󰘭
md-source_pull	U+F04C2	󰓂
md-source_repository	U+F0CCF	󰳏
md-source_repository_multiple	U+F0CD0	󰳐
oct-alert	U+F421	
oct-alert_fill	U+F40C	
oct-archive	U+F411	
oct-beaker	U+F499	
oct-bug	U+F46F	
oct-check	U+F42E	
oct-check_circle	U+F49E	
oct-check_circle_fill	U+F4A4	
oct-checkbox	U+F4A7	
oct-checklist	U+F45E	
oct-circle_slash	U+F468	
oct-clock	U+F43A	
oct-clock_fill	U+F4AB	
oct-code_review	U+F4AF	
oct-codescan_checkmark	U+F4B2	
oct-comment	U+F41F	
oct-comment_discussion	U+F442	
oct-commit	U+F4B6	
oct-diff	U+F440	
oct-diff_added	U+F457	
oct-diff_ignored	U+F474	
oct-diff_modified	U+F459	
oct-diff_removed	U+F458	
oct-diff_renamed	U+F45A	
oct-dot_fill	U+F444	
oct-eye	U+F441	
oct-eye_closed	U+F4C5	
oct-feed_forked	U+F4C7	
oct-feed_merged	U+F4C9	
oct-feed_repo	U+F4CB	
oct-feed_rocket	U+F4CC	
oct-feed_tag	U+F4CE	
oct-feed_trophy	U+F4CF	
oct-file_diff	U+F4D2	
oct-flame	U+F490	
oct-git_branch	U+F418	
oct-git_commit	U+F417	
oct-git_compare	U+F47F	
oct-git_merge	U+F419	
oct-git_merge_queue	U+F4DB	
oct-git_pull_request	U+F407	
oct-git_pull_request_closed	U+F4DC	
oct-git_pull_request_draft	U+F4DD	
oct-hourglass	U+F4E3	
oct-inbox	U+F48D	
oct-issue_draft	U+F4E7	
oct-logo_github	U+F470	
oct-mark_github	U+F408	
oct-milestone	U+F45D	
oct-no_entry	U+F4F4	
oct-pencil	U+F448	
oct-question	U+F420	
oct-repo	U+F401	
oct-repo_clone	U+F43F	
oct-repo_deleted	U+F507	
oct-repo_forked	U+F402	
oct-repo_locked	U+F508	
oct-repo_pull	U+F404	
oct-repo_push	U+F403	
oct-repo_template	U+F509	
oct-report	U+F50A	
oct-rocket	U+F427	
oct-shield	U+F49C	
oct-shield_check	U+F510	
oct-shield_lock	U+F511	
oct-shield_slash	U+F512	
oct-shield_x	U+F513	
oct-sparkle_fill	U+F51B	
oct-stack	U+F51E	
oct-tag	U+F412	
oct-trophy	U+F527	
oct-unverified	U+F4A3	
oct-verified	U+F4A1	
oct-x_circle	U+F52F	
oct-x_circle_fill	U+F530	
oct-zap	U+26A1	⚡
